,in_prod_name,pro_status_cd,status_list,category,3,5,12,no_numbers
62,FPSFJBB-D16-L25-M5-N5,203-11-39-4-3-40-202-10,"['203', '11', '39', '4', '3', '40', '202', '10']",2,1,0,0,FPSFJBB-D-L-M-N
63,FPSFJBB-D16-L35-M5-N5,39-11-202-40-3-203-4-10,"['39', '11', '202', '40', '3', '203', '4', '10']",2,1,0,0,FPSFJBB-D-L-M-N
64,FPSFJBB-D16-L35-M5-N5,202-10-11-40-203-4-3-39,"['202', '10', '11', '40', '203', '4', '3', '39']",2,1,0,0,FPSFJBB-D-L-M-N
65,FPSFJBB-D16-L35-M5-N5,10-203-40-11-3-202-39-4,"['10', '203', '40', '11', '3', '202', '39', '4']",2,1,0,0,FPSFJBB-D-L-M-N
66,FPSFJBB-D16-L35-M5-N5,39-40-203-10-3-4-11-202,"['39', '40', '203', '10', '3', '4', '11', '202']",2,1,0,0,FPSFJBB-D-L-M-N
67,FPSFJBB-D16-L45-M5-N5,39-200-10-201-11-40,"['39', '200', '10', '201', '11', '40']",1,0,0,0,FPSFJBB-D-L-M-N
68,FPSFJBB-D16-L45-M5-N5,10-39-40-201-200-11,"['10', '39', '40', '201', '200', '11']",1,0,0,0,FPSFJBB-D-L-M-N
69,FPSFJBB-D20-L40-M10-N10,39-203-40-10-202-11,"['39', '203', '40', '10', '202', '11']",2,0,0,0,FPSFJBB-D-L-M-N
70,FPSFJBB-D20-L48-M10-N10,202-11-203-10-39-40,"['202', '11', '203', '10', '39', '40']",2,0,0,0,FPSFJBB-D-L-M-N
71,FPSFJBB-D20-L48-M12-N12,3-40-10-202-11-203-39,"['3', '40', '10', '202', '11', '203', '39']",2,1,0,0,FPSFJBB-D-L-M-N
72,FPSFJBB-D25-L479-M10-N10,10-39-202-40-11-203,"['10', '39', '202', '40', '11', '203']",2,0,0,0,FPSFJBB-D-L-M-N
73,FPSFJBB-D25-L479-M10-N10,39-40-11-202-203-10,"['39', '40', '11', '202', '203', '10']",2,0,0,0,FPSFJBB-D-L-M-N
74,FPSFJBB-D40-L600-M20-N20-LKC,39-11-40-203-10-202-3,"['39', '11', '40', '203', '10', '202', '3']",2,1,0,0,FPSFJBB-D-L-M-N-LKC
75,FPSFJBB-D40-L650-M16-N16,39-10-203-40-202-11-3-4,"['39', '10', '203', '40', '202', '11', '3', '4']",2,1,0,0,FPSFJBB-D-L-M-N
76,FPSFJBB-D40-L710-M8-N8,11-203-40-10-39-3-202-4,"['11', '203', '40', '10', '39', '3', '202', '4']",2,1,0,0,FPSFJBB-D-L-M-N
77,FPSFJBB-D8-L55-M4-N5-LKC-SC35,431-430-13-202-4-11-3-203-40-39-10-12,"['431', '430', '13', '202', '4', '11', '3', '203', '40', '39', '10', '12']",2,1,0,1,FPSFJBB-D-L-M-N-LKC-SC
78,FPSFJBC-D10-L38-M5-T13-N8-S10,4-11-39-203-40-202-10-3,"['4', '11', '39', '203', '40', '202', '10', '3']",2,1,0,0,FPSFJBC-D-L-M-T-N-S
79,FPSFJBC-D12-L70-M5-T7-N3-S5-SC60,431-40-202-39-11-12-10-3-4-203-430-13,"['431', '40', '202', '39', '11', '12', '10', '3', '4', '203', '430', '13']",2,1,0,1,FPSFJBC-D-L-M-T-N-S-SC
80,FPSFJBC-D16-L155.0-M10-T50-N12-S35,203-11-3-40-39-4-202-10,"['203', '11', '3', '40', '39', '4', '202', '10']",2,1,0,0,FPSFJBC-D-L.-M-T-N-S
81,FPSFJBC-D25-L290-M8-T19-N10-S16-SC265,40-4-430-3-202-431-10-12-203-11-39-13,"['40', '4', '430', '3', '202', '431', '10', '12', '203', '11', '39', '13']",2,1,0,1,FPSFJBC-D-L-M-T-N-S-SC
82,FPSFJBC-D35-L503-M12-T80-N24-S50-SC100,12-430-431-13-202-10-39-40-11-203,"['12', '430', '431', '13', '202', '10', '39', '40', '11', '203']",2,0,0,1,FPSFJBC-D-L-M-T-N-S-SC
83,FPSFJBC-D6-L29.5-M3-T10-N5-S8-SC5,202-39-40-10-431-3-13-12-11-203-430,"['202', '39', '40', '10', '431', '3', '13', '12', '11', '203', '430']",2,1,0,1,FPSFJBC-D-L.-M-T-N-S-SC
84,FPSFJBD-D10-L25-M3-T4-Q6-SC8,11-430-40-203-10-202-12-431-3-39-13-4,"['11', '430', '40', '203', '10', '202', '12', '431', '3', '39', '13', '4']",2,1,0,1,FPSFJBD-D-L-M-T-Q-SC
85,FPSFJBD-D10-L30-M3-T4-Q6-SC8,11-10-202-203-12-430-3-431-4-13-39-40,"['11', '10', '202', '203', '12', '430', '3', '431', '4', '13', '39', '40']",2,1,0,1,FPSFJBD-D-L-M-T-Q-SC
86,FPSFJBE-D10-L85-M5-T6-N5-Q8,10-202-39-11-40-203-3-4,"['10', '202', '39', '11', '40', '203', '3', '4']",2,1,0,0,FPSFJBE-D-L-M-T-N-Q
87,FPSFJBE-D10-L85-M5-T6-N5-Q8,39-40-11-4-202-10-3-203,"['39', '40', '11', '4', '202', '10', '3', '203']",2,1,0,0,FPSFJBE-D-L-M-T-N-Q
88,FPSFJBE-D10-L85-M5-T6-N5-Q8,10-40-11-203-202-39-3-4,"['10', '40', '11', '203', '202', '39', '3', '4']",2,1,0,0,FPSFJBE-D-L-M-T-N-Q
89,FPSFJBE-D10-L85-M5-T6-N5-Q8,39-40-4-202-10-11-203-3,"['39', '40', '4', '202', '10', '11', '203', '3']",2,1,0,0,FPSFJBE-D-L-M-T-N-Q
90,FPSFJBE-D10-L85-M5-T6-N5-Q8,201-40-11-200-202-10-203-39,"['201', '40', '11', '200', '202', '10', '203', '39']",3,0,0,0,FPSFJBE-D-L-M-T-N-Q
91,FPSFJBE-D10-L85-M5-T6-N5-Q8,39-40-4-11-3-202-203-10,"['39', '40', '4', '11', '3', '202', '203', '10']",2,1,0,0,FPSFJBE-D-L-M-T-N-Q
92,FPSFJBE-D10-L85-M5-T6-N5-Q8,40-202-10-39-11-203,"['40', '202', '10', '39', '11', '203']",2,0,0,0,FPSFJBE-D-L-M-T-N-Q
93,FPSFJBE-D10-L85-M5-T6-N5-Q8,39-10-40-11-202-203,"['39', '10', '40', '11', '202', '203']",2,0,0,0,FPSFJBE-D-L-M-T-N-Q
94,FPSFJBE-D10-L85-M5-T6-N5-Q8,203-11-39-10-202-40,"['203', '11', '39', '10', '202', '40']",2,0,0,0,FPSFJBE-D-L-M-T-N-Q
95,FPSFJBE-D10-L85-M5-T6-N5-Q8,10-200-40-203-201-11-39-202,"['10', '200', '40', '203', '201', '11', '39', '202']",3,0,0,0,FPSFJBE-D-L-M-T-N-Q
96,FPSFJBE-D16-L283-M6-T13-N6-Q10-LKC-SC40,430-11-3-10-202-203-12-40-431-13-4-39,"['430', '11', '3', '10', '202', '203', '12', '40', '431', '13', '4', '39']",2,1,0,1,FPSFJBE-D-L-M-T-N-Q-LKC-SC
97,FPSFJBE-D16-L283-M6-T13-N6-Q10-LKC-SC40,431-10-3-430-12-4-11-13-202-203-39-40,"['431', '10', '3', '430', '12', '4', '11', '13', '202', '203', '39', '40']",2,1,0,1,FPSFJBE-D-L-M-T-N-Q-LKC-SC
