client_cd,order_cd,pro_seq,pro_status_cd
502,4318,1,10-204-11-205-39-40-3-4
502,4531,1,3-4-10-204-11-205-39-40
631,1953,1,3-4-10-204-205-11-39-40
641,2684,1,10-200-39-40-201-11
641,2685,1,10-202-203-11-39-40-3-4
641,2711,1,201-11-39-40-10-200
641,2828,1,3-4-11-39-40
641,2829,1,3-4-11-39-40
641,2843,1,39-40-3-4-10-202-203-11
641,2844,1,3-4-11-12-310-13-311-39-40
641,2845,1,3-4-11-12-310-13-311-39-40
641,2852,1,10-204-205-11-39-40
641,2853,1,10-204-205-11-39-40
641,2870,1,39-40-3-4-10-202-203-11
641,3105,1,201-11-10-200-39-40
641,3105,2,10-200-201-11-39-40
641,3105,3,10-200-201-11-39-40
641,3105,4,10-200-201-11-39-40
641,3105,5,10-200-201-11-39-40
641,3105,6,10-200-201-11-39-40
641,3105,7,10-200-201-11-39-40
641,3105,8,10-200-201-11-39-40
641,3105,9,10-200-201-11-39-40
641,3105,10,10-200-201-11-39-40
641,3105,11,11-201-39-40-10-200
641,3105,12,201-11-39-40-10-200
641,3105,13,10-200-201-11-39-40
641,3105,14,201-11-39-40-10-200
641,3105,15,201-11-39-40-10-200
641,3105,16,201-11-39-40-10-200
641,3118,1,12-480-13-481-10-202-11-203-39-40-3-4
641,4639,1,3-4-10-202-203-11-39-40
641,4654,1,10-204-11-205-39-40-3-4
641,4885,1,39-40-10-200-201-11
641,4915,1,3-4-10-202-11-203-12-480-13-481-39-40
641,5030,1,10-200-201-11-39-40-12-310-13-311
641,5045,1,39-40-3-4-10-202-203-11
641,5851,1,39-40-3-4-5-6-10-202-203-11
641,5851,2,39-40-3-4-10-202-203-11
641,5853,1,3-4-10-204-205-11-39-40
641,5854,1,3-10-204-205-11-39-40
641,8677,1,10-200-201-11-39-40
641,8705,1,3-4-10-202-39-40-203-11
641,8861,1,3-10-202-203-11-39-40
641,8864,1,3-4-10-202-11-203-39-40
641,8994,1,39-40-3-4-10-202-11-203
641,9019,1,3-12-310-13-311-39-40-10-204-11-205
641,9161,1,12-310-311-13-39-40-10-204-205-11
641,9270,1,3-4-39-40-10-204-205-11-12-310-13-311
641,9327,1,3-4-10-202-203-11-39-40
641,9353,1,3-4-39-40-10-204-205-11-12-13-310-311
641,10198,1,3-4-39-40-10-204-205-11
641,11705,1,3-4-10-202-11-203-12-310-13-311-39-40
641,11881,1,10-204-205-11-39-40-12-480-13-481
641,11881,2,205-11-39-40-10-204-12-480-13-481
641,11928,1,10-204-205-11-39-40-3-4
641,11928,2,10-204-205-11-39-40-3-4
641,11982,1,39-40-3-4-10-202-203-11
641,12154,1,10-204-205-11-39-40-3-4
641,12803,1,39-40-3-4-10-202-203-11
641,12805,1,3-4-10-204-205-11-39-40
641,12820,1,3-4-39-40-10-204-205-11
641,13471,1,12-430-13-431-39-40-3-4-5-6-10-202-203-11
641,13746,1,10-200-201-11-39-40
641,13781,1,3-4-39-40-10-204-205-11
641,13820,1,3-4-10-202-203-11-39-40
641,13822,1,10-200-201-11-39-40
641,13824,1,10-200-201-11-39-40
641,14021,1,39-40-10-202-11-203
641,14021,2,39-40-10-202-11-203
641,14021,3,11-203-10-202-39-40
641,14021,4,203-11-39-40-10-202
641,14021,5,10-202-11-203-39-40
641,14021,6,11-10-202-203-39-40
641,14021,7,10-202-11-203-39-40
641,14021,8,10-202-11-203-39-40
641,14021,9,10-202-11-203-39-40
641,14031,1,39-40-10-200-201-11
641,14043,1,39-40-10-200-201-11
641,14043,2,39-40-10-200-201-11
641,14214,1,39-40-3-4-10-202-203-11-12-430-13-431
641,16296,1,39-40-12-480-13-481-10-202-203-11
1028,504085,1,10-200-11-201-39-40-12-430-13-431
