sorted_string,most_popular_sequence,number_of_apperance
10-11-12-13-204-205-3-310-311-4-40,40-12-310-13-311-3-4-10-11-204-205,1
10-11-12-13-202-203-39-40-490-491,10-202-203-11-39-40-12-490-13-491,3
10-11-12-13-202-203-3-39-4-40-430-431-444-445-5-6,3-4-5-6-10-202-203-11-12-430-431-444-13-445-39-40,4
10-11-12-13-202-203-3-344-345-39-40,39-40-3-10-202-203-11-12-344-13-345,1
11-12-13-39-40-430-431,11-39-40-12-430-13-431,3
10-11-12-13-202-203-3-310-311-39-40,3-10-202-11-203-39-40-12-310-13-311,1
10-11-12-13-202-203-3-32-33-39-40-430-431,3-33-10-202-12-430-431-39-40-13-32-203-11,1
10-200-201-39-40,39-40-10-200-201,1
10-11-12-13-200-201-344-345-39-40,10-200-201-39-40-11-12-344-13-345,2
10-11-12-13-202-203-39-40-502-503,203-11-39-40-10-202-12-502-13-503,2
10-11-12-13-202-203-3-32-33-39-4-40-480-481,10-202-203-11-12-480-13-481-32-33-39-40-3-4,1
10-11-202-203-3-4-40,10-202-203-11-40-3-4,1
10-11-12-13-202-203-3-39-4-40-502-503,10-202-203-11-3-4-39-40-12-502-13-503,1
10-11-202-203-203-3-39-4-40,3-4-10-202-11-203-203-39-40,1
10-11-12-13-200-201-202-203-39-40-430-431-8,39-40-8-200-10-202-11-201-203-12-430-13-431,1
10-11-12-13-200-201-39-40-502-503,11-10-200-201-12-502-13-503-39-40,3
10-11-12-13-202-203-3-344-345-39-4-40-482-483-5-6,12-344-345-482-13-483-3-4-39-40-5-6-10-202-203-11,1
10-11-12-13-204-205-3-39-4-40-430-431,10-204-205-11-12-430-13-431-3-4-39-40,2
11-12-13-3-39-4-40-5-506-507-6,12-506-13-507-39-40-3-4-5-6-11,1
10-11-12-13-200-201-202-203-39-40-490-491,202-11-201-203-12-490-13-491-10-200-39-40,1
10-11-12-13-202-203-3-39-4-40-5-502-503,12-502-13-503-39-40-3-4-5-10-202-203-11,1
11-12-13-39-40-506-507,12-506-507-13-11-39-40,1
10-11-12-13-202-203-3-344-345-39-4-40-482-483,11-12-344-345-482-483-13-39-40-10-202-203-3-4,1
11-12-13-310-311-39-40,39-40-11-12-310-13-311,1
10-11-12-13-200-201-202-203-32-33-39-40-430-431,10-200-201-33-202-11-203-39-40-12-430-13-431-32,1
10-11-202-203-3-32-32-33-39-40,3-10-202-203-33-39-40-11-32-32,1
10-11-12-13-200-201-344-345-39-40-482-483,11-201-39-40-12-344-345-482-13-483-10-200,1
10-11-12-13-202-203-344-345-39-40-480-481,12-480-344-481-13-345-10-202-11-203-39-40,1
10-11-12-13-202-203-3-39-4-40-506-507,10-202-203-11-12-506-13-507-39-40-3-4,2
11-12-13-200-201-39-40-480-481-8,12-480-13-481-8-200-39-40-11-201,1
10-11-12-13-202-203-3-39-40-430-431-444-445,3-10-202-203-11-12-430-431-444-13-445-39-40,1
10-11-12-13-202-203-3-39-40-506-507,11-3-12-506-13-507-39-40-10-202-203,1
10-11-12-13-202-203-3-39-40-424-425,39-40-3-10-202-203-11-12-424-13-425,1
11-12-13-3-39-4-40-424-425,39-40-3-4-11-12-13-424-425,1
10-202-203-40,10-202-203-40,1
10-11-202-203-3-4-5-6,3-4-5-6-10-202-203-11,1
10-11-200-200-202-203-3-39-4-40,10-202-203-39-40-11-200-200-3-4,1
10-11-12-13-202-203-3-39-4-40-430-431-502-503,502-13-503-39-40-3-4-10-202-203-11-12-430-431,1
10-11-12-13-202-203-3-39-4-40-430-431-5-502-503,502-503-13-39-40-11-203-12-430-431-3-4-5-10-202,1
10-11-12-13-202-203-310-311-39-40-430-431,10-202-203-11-12-430-310-431-13-311-39-40,1
10-11-12-13-204-205-3-39-4-40-424-425,3-4-10-204-205-11-39-40-12-424-13-425,3
